Reporting Date,Event Date,Portfolio Company,Industry,Activity Type,Instrument,Amount ($000),Cost Change ($000),Fair Value Change ($000),Realized Gain Loss ($000),Prior Non-Accrual,Current Non-Accrual,Description,Source Filing,Source Page,Source URL
2025-12-31,,Ruffalo,,Exit,,,,,,,,"Investment exited during Q4 2025; cited by management as a primary driver of the quarter's net realized loss. Company exited, so it does not appear in the 3/31/26 Schedule of Investments; the per-company realized amount was not separately disclosed.",Q4 2025 earnings call (management remarks); underlying realized detail in FY2025 Form 10-K realized gains/losses note,Portfolio quality / realized results,https://ir.barings.com/news-events/press-releases/detail/471/barings-bdc-inc-reports-fourth-quarter-and-full-year-2025-results-and-announces-quarterly-cash-dividend-of-0-26-per-share
2025-12-31,,Avanti,,Exit,,,,,,,,"Investment exited during Q4 2025; cited by management as a primary driver of the quarter's net realized loss. Company exited, so it does not appear in the 3/31/26 Schedule of Investments; the per-company realized amount was not separately disclosed.",Q4 2025 earnings call (management remarks); underlying realized detail in FY2025 Form 10-K realized gains/losses note,Portfolio quality / realized results,https://ir.barings.com/news-events/press-releases/detail/471/barings-bdc-inc-reports-fourth-quarter-and-full-year-2025-results-and-announces-quarterly-cash-dividend-of-0-26-per-share
2025-12-31,,Eurofins Digital Testing International LUX Holding SARL,Healthcare & Pharmaceuticals,Restructuring,,,,,,,,Investment restructured during Q4 2025 (management referred to it as 'Eurofence' on the call); a driver of the quarter's net realized loss. The junior (subordinated) tranche was subsequently placed on non-accrual in Q1 2026.,Q4 2025 earnings call (management remarks),Portfolio quality / realized results,https://ir.barings.com/news-events/press-releases/detail/471/barings-bdc-inc-reports-fourth-quarter-and-full-year-2025-results-and-announces-quarterly-cash-dividend-of-0-26-per-share
2025-12-31,,Jones Fish,,Sale,Equity,,,,,,,"Equity investment sold during Q4 2025 at a realized gain, partially offsetting the quarter's realized losses (management, Q4 2025 call). Per-company realized amount not separately disclosed.",Q4 2025 earnings call (management remarks),Portfolio quality / realized results,https://ir.barings.com/news-events/press-releases/detail/471/barings-bdc-inc-reports-fourth-quarter-and-full-year-2025-results-and-announces-quarterly-cash-dividend-of-0-26-per-share
2025-12-31,,CJS Global,,Sale,Equity,,,,,,,"Equity investment sold during Q4 2025 at a realized gain, partially offsetting the quarter's realized losses (management, Q4 2025 call). Per-company realized amount not separately disclosed.",Q4 2025 earnings call (management remarks),Portfolio quality / realized results,https://ir.barings.com/news-events/press-releases/detail/471/barings-bdc-inc-reports-fourth-quarter-and-full-year-2025-results-and-announces-quarterly-cash-dividend-of-0-26-per-share
2026-03-31,,EMI Porta Holdco LLC,Construction & Building,Added to Non-Accrual,First Lien Senior Secured Term Loan,,,,,No,Yes,"Placed on non-accrual during Q1 2026 (management named EMI as a new non-accrual on the Q1 2026 call). Period-end cost $11,948K / fair value $8,988K per the 3/31/26 Schedule of Investments (non-accrual footnote (26)).",Q1 2026 10-Q (Schedule of Investments) + Q1 2026 earnings call,Schedule of Investments; non-accrual footnote (26),https://www.sec.gov/Archives/edgar/data/1379785/000137978526000022/bbdc-20260331.htm
2026-03-31,,EMI Porta Holdco LLC,Construction & Building,Added to Non-Accrual,Revolver,,,,,No,Yes,Placed on non-accrual during Q1 2026. Period-end cost $931K / fair value $199K per the 3/31/26 Schedule of Investments (non-accrual footnote (26)).,Q1 2026 10-Q (Schedule of Investments) + Q1 2026 earnings call,Schedule of Investments; non-accrual footnote (26),https://www.sec.gov/Archives/edgar/data/1379785/000137978526000022/bbdc-20260331.htm
2026-03-31,,"Terrybear, Inc.",Consumer goods: Durable,Added to Non-Accrual,Subordinated Term Loan,,,,,No,Yes,Placed on non-accrual during Q1 2026 (management named Terrybear as a new non-accrual on the Q1 2026 call). Period-end cost $297K / fair value $234K per the 3/31/26 Schedule of Investments (non-accrual footnote (26)).,Q1 2026 10-Q (Schedule of Investments) + Q1 2026 earnings call,Schedule of Investments; non-accrual footnote (26),https://www.sec.gov/Archives/edgar/data/1379785/000137978526000022/bbdc-20260331.htm
2026-03-31,,Eurofins Digital Testing International LUX Holding SARL,Healthcare & Pharmaceuticals,Added to Non-Accrual,Subordinated Term Loan,,,,,No,Yes,"Junior (subordinated) tranche placed on non-accrual during Q1 2026 (management referenced the 'Eurofence junior capital position' on the Q1 2026 call). Period-end cost $1,445K / fair value $0K per the 3/31/26 Schedule of Investments (footnote (26)). The company's senior first-lien tranches remained performing.",Q1 2026 10-Q (Schedule of Investments) + Q1 2026 earnings call,Schedule of Investments; non-accrual footnote (26),https://www.sec.gov/Archives/edgar/data/1379785/000137978526000022/bbdc-20260331.htm
2026-03-31,,Sierra Income Corporation (CLO investments),,Sale,Collateralized loan obligation investments,,,,,,,"Sierra Income Corporation collateralized loan obligation investments sold in Q1 2026. Disclosed with equity sales as combined proceeds of $5,300K and a combined net realized loss of $3,200K (Q1 2026 earnings release); the CLO-only portion was not separately disclosed.",Q1 2026 earnings release (Recent Portfolio Activity),Recent Portfolio Activity,https://ir.barings.com/news-events/press-releases/detail/473/barings-bdc-inc-reports-first-quarter-2026-results-and-announces-quarterly-cash-dividend-of-0-26-per-share
2026-03-31,,Sierra joint venture,Investment Funds & Vehicles,Repayment,Joint venture interest,16400,,,,,,"The Sierra joint venture liquidated its remaining investments during Q1 2026, returning approximately $16,400K of capital (management, Q1 2026 call). Recorded as return of capital rather than a realized gain/loss.",Q1 2026 earnings call (management remarks) + Q1 2026 earnings release,Recent Portfolio Activity,https://ir.barings.com/news-events/press-releases/detail/473/barings-bdc-inc-reports-first-quarter-2026-results-and-announces-quarterly-cash-dividend-of-0-26-per-share
